,0,1
0,"[-3.022323073040962, -2.16700903345055, 21.722147826192007, 12.432463513252106, -3.022323073040962, -2.16700903345055, 21.722147826192007, 12.432463513252106, -3.022323073040962, -2.16700903345055, 21.722147826192007, 12.432463513252106, -3.022323073040962, -2.16700903345055, 21.722147826192007, 12.432463513252106, -3.022323073040962, -2.16700903345055, 21.722147826192007, 12.432463513252106, -3.022323073040962, -2.16700903345055, 21.722147826192007, 12.432463513252106, -3.022323073040962, -2.16700903345055, 21.722147826192007, 12.432463513252106, -3.022323073040962, -2.16700903345055, 21.722147826192007, 12.432463513252106, -3.022323073040962, -2.16700903345055, 21.722147826192007, 12.432463513252106, -3.022323073040962, -2.16700903345055, 21.722147826192007, 12.432463513252106]",[190.33]
1,"[1.6601880754240375, 2.6649753187754177, -2.465155553003189, 0.17012068476758202, 1.6601880754240375, 2.6649753187754177, -2.465155553003189, 0.17012068476758202, 1.6601880754240375, 2.6649753187754177, -2.465155553003189, 0.17012068476758202, 1.6601880754240375, 2.6649753187754177, -2.465155553003189, 0.17012068476758202, 1.6601880754240375, 2.6649753187754177, -2.465155553003189, 0.17012068476758202, 1.6601880754240375, 2.6649753187754177, -2.465155553003189, 0.17012068476758202, 1.6601880754240375, 2.6649753187754177, -2.465155553003189, 0.17012068476758202, 1.6601880754240375, 2.6649753187754177, -2.465155553003189, 0.17012068476758202, 1.6601880754240375, 2.6649753187754177, -2.465155553003189, 0.17012068476758202, 1.6601880754240375, 2.6649753187754177, -2.465155553003189, 0.17012068476758202]",[41.82]
2,"[-2.706899281158896, -1.685744668753416, 5.512827424102479, 3.3016285845096767, -2.706899281158896, -1.685744668753416, 5.512827424102479, 3.3016285845096767, -2.706899281158896, -1.685744668753416, 5.512827424102479, 3.3016285845096767, -2.706899281158896, -1.685744668753416, 5.512827424102479, 3.3016285845096767, -2.706899281158896, -1.685744668753416, 5.512827424102479, 3.3016285845096767, -2.706899281158896, -1.685744668753416, 5.512827424102479, 3.3016285845096767, -2.706899281158896, -1.685744668753416, 5.512827424102479, 3.3016285845096767, -2.706899281158896, -1.685744668753416, 5.512827424102479, 3.3016285845096767, -2.706899281158896, -1.685744668753416, 5.512827424102479, 3.3016285845096767, -2.706899281158896, -1.685744668753416, 5.512827424102479, 3.3016285845096767]",[57.96]
3,"[1.1746985578903475, 0.21838517021700854, 13.273269968202085, 3.0167019719348014, 1.1746985578903475, 0.21838517021700854, 13.273269968202085, 3.0167019719348014, 1.1746985578903475, 0.21838517021700854, 13.273269968202085, 3.0167019719348014, 1.1746985578903475, 0.21838517021700854, 13.273269968202085, 3.0167019719348014, 1.1746985578903475, 0.21838517021700854, 13.273269968202085, 3.0167019719348014, 1.1746985578903475, 0.21838517021700854, 13.273269968202085, 3.0167019719348014, 1.1746985578903475, 0.21838517021700854, 13.273269968202085, 3.0167019719348014, 1.1746985578903475, 0.21838517021700854, 13.273269968202085, 3.0167019719348014, 1.1746985578903475, 0.21838517021700854, 13.273269968202085, 3.0167019719348014, 1.1746985578903475, 0.21838517021700854, 13.273269968202085, 3.0167019719348014]",[56.72]
4,"[-0.0940920079333476, 1.1677901466125498, 11.060087600731833, -0.25893562667509507, -0.0940920079333476, 1.1677901466125498, 11.060087600731833, -0.25893562667509507, -0.0940920079333476, 1.1677901466125498, 11.060087600731833, -0.25893562667509507, -0.0940920079333476, 1.1677901466125498, 11.060087600731833, -0.25893562667509507, -0.0940920079333476, 1.1677901466125498, 11.060087600731833, -0.25893562667509507, -0.0940920079333476, 1.1677901466125498, 11.060087600731833, -0.25893562667509507, -0.0940920079333476, 1.1677901466125498, 11.060087600731833, -0.25893562667509507, -0.0940920079333476, 1.1677901466125498, 11.060087600731833, -0.25893562667509507, -0.0940920079333476, 1.1677901466125498, 11.060087600731833, -0.25893562667509507, -0.0940920079333476, 1.1677901466125498, 11.060087600731833, -0.25893562667509507]",[38.6]
5,"[0.009891054687034107, 2.005242937310686, 14.246519603139776, -1.1888607409486958, 0.009891054687034107, 2.005242937310686, 14.246519603139776, -1.1888607409486958, 0.009891054687034107, 2.005242937310686, 14.246519603139776, -1.1888607409486958, 0.009891054687034107, 2.005242937310686, 14.246519603139776, -1.1888607409486958, 0.009891054687034107, 2.005242937310686, 14.246519603139776, -1.1888607409486958, 0.009891054687034107, 2.005242937310686, 14.246519603139776, -1.1888607409486958, 0.009891054687034107, 2.005242937310686, 14.246519603139776, -1.1888607409486958, 0.009891054687034107, 2.005242937310686, 14.246519603139776, -1.1888607409486958, 0.009891054687034107, 2.005242937310686, 14.246519603139776, -1.1888607409486958, 0.009891054687034107, 2.005242937310686, 14.246519603139776, -1.1888607409486958]",[66.35]
6,"[0.6534092142311994, -1.3394311210915002, -9.59981946716847, -4.363315566589075, 0.6534092142311994, -1.3394311210915002, -9.59981946716847, -4.363315566589075, 0.6534092142311994, -1.3394311210915002, -9.59981946716847, -4.363315566589075, 0.6534092142311994, -1.3394311210915002, -9.59981946716847, -4.363315566589075, 0.6534092142311994, -1.3394311210915002, -9.59981946716847, -4.363315566589075, 0.6534092142311994, -1.3394311210915002, -9.59981946716847, -4.363315566589075, 0.6534092142311994, -1.3394311210915002, -9.59981946716847, -4.363315566589075, 0.6534092142311994, -1.3394311210915002, -9.59981946716847, -4.363315566589075, 0.6534092142311994, -1.3394311210915002, -9.59981946716847, -4.363315566589075, 0.6534092142311994, -1.3394311210915002, -9.59981946716847, -4.363315566589075]",[56.51]
7,"[0.19446306648318012, 0.6581026810563886, -2.7664346481895397, 1.0180340908008336, 0.19446306648318012, 0.6581026810563886, -2.7664346481895397, 1.0180340908008336, 0.19446306648318012, 0.6581026810563886, -2.7664346481895397, 1.0180340908008336, 0.19446306648318012, 0.6581026810563886, -2.7664346481895397, 1.0180340908008336, 0.19446306648318012, 0.6581026810563886, -2.7664346481895397, 1.0180340908008336, 0.19446306648318012, 0.6581026810563886, -2.7664346481895397, 1.0180340908008336, 0.19446306648318012, 0.6581026810563886, -2.7664346481895397, 1.0180340908008336, 0.19446306648318012, 0.6581026810563886, -2.7664346481895397, 1.0180340908008336, 0.19446306648318012, 0.6581026810563886, -2.7664346481895397, 1.0180340908008336, 0.19446306648318012, 0.6581026810563886, -2.7664346481895397, 1.0180340908008336]",[8.57]
8,"[1.2784802036219105, -2.8869164905178755, 9.65129218859611, 2.555503502644122, 1.2784802036219105, -2.8869164905178755, 9.65129218859611, 2.555503502644122, 1.2784802036219105, -2.8869164905178755, 9.65129218859611, 2.555503502644122, 1.2784802036219105, -2.8869164905178755, 9.65129218859611, 2.555503502644122, 1.2784802036219105, -2.8869164905178755, 9.65129218859611, 2.555503502644122, 1.2784802036219105, -2.8869164905178755, 9.65129218859611, 2.555503502644122, 1.2784802036219105, -2.8869164905178755, 9.65129218859611, 2.555503502644122, 1.2784802036219105, -2.8869164905178755, 9.65129218859611, 2.555503502644122, 1.2784802036219105, -2.8869164905178755, 9.65129218859611, 2.555503502644122, 1.2784802036219105, -2.8869164905178755, 9.65129218859611, 2.555503502644122]",[71.39]
9,"[-0.6920274289910964, 2.964626731496491, -11.558284975193086, 2.2628309499457897, -0.6920274289910964, 2.964626731496491, -11.558284975193086, 2.2628309499457897, -0.6920274289910964, 2.964626731496491, -11.558284975193086, 2.2628309499457897, -0.6920274289910964, 2.964626731496491, -11.558284975193086, 2.2628309499457897, -0.6920274289910964, 2.964626731496491, -11.558284975193086, 2.2628309499457897, -0.6920274289910964, 2.964626731496491, -11.558284975193086, 2.2628309499457897, -0.6920274289910964, 2.964626731496491, -11.558284975193086, 2.2628309499457897, -0.6920274289910964, 2.964626731496491, -11.558284975193086, 2.2628309499457897, -0.6920274289910964, 2.964626731496491, -11.558284975193086, 2.2628309499457897, -0.6920274289910964, 2.964626731496491, -11.558284975193086, 2.2628309499457897]",[63.54]
